Date,gold_dir,logit_pr,xg_gold_r_pr,xg_gold_c_pr,rf_pr
2021-08-18,0.0,0.5440128369298182,1.0,0.9886658191680908,0.96
2021-08-19,0.0,0.5480985669027405,0.2523309588432312,0.29355114698410034,0.14
2021-08-20,1.0,0.6128200605935764,0.8344809412956238,0.8652936816215515,0.56
2021-08-23,1.0,0.49846610105761724,0.746549129486084,0.9366604089736938,0.16
2021-08-24,1.0,0.49846356049199514,0.8456277847290039,0.7793855667114258,0.0
2021-08-25,0.0,0.4889249020932498,0.7764471173286438,0.9249810576438904,0.06
2021-08-26,1.0,0.6016143137179648,0.1859273761510849,0.015209732577204704,1.0
2021-08-27,1.0,0.49167475277964373,0.2824556827545166,0.33061549067497253,0.02
2021-08-30,0.0,0.5083209408947383,0.5581551790237427,0.97050541639328,0.2
2021-08-31,1.0,0.6081272344082808,0.9183411002159119,0.9892888069152832,0.42
2021-09-01,0.0,0.4998955114755066,0.07582981139421463,0.019765688106417656,0.32
2021-09-02,0.0,0.6204269912645923,0.49602487683296204,0.6612597703933716,0.06
2021-09-03,1.0,0.6094808732523559,0.920639157295227,0.7902181148529053,0.98
2021-09-07,0.0,0.607574294654597,0.45692944526672363,0.6853958368301392,1.0
2021-09-08,0.0,0.5928869268732967,0.18005284667015076,0.09327445924282074,0.2
2021-09-09,1.0,0.6110293755550166,0.6032599806785583,0.32395267486572266,0.98
2021-09-10,0.0,0.4999294058486956,0.007967543788254261,0.0494285523891449,0.12
2021-09-13,1.0,0.5946763538314914,0.48669248819351196,0.7356037497520447,0.06
2021-09-14,1.0,0.49878949343751916,0.26761525869369507,0.46109944581985474,0.64
2021-09-15,0.0,0.503244573135614,0.3415274918079376,0.0904160812497139,0.36
2021-09-16,0.0,0.6076305614206128,1.0,0.9966250658035278,0.98
2021-09-17,0.0,0.6000535440853795,0.3544776141643524,0.017350785434246063,1.0
2021-09-20,1.0,0.5959695955288102,0.6159899830818176,0.15377740561962128,0.24
2021-09-21,1.0,0.4901845479368086,0.21394313871860504,0.1502103954553604,0.04
2021-09-22,1.0,0.49393701097561643,0.09671726822853088,0.1816224455833435,0.98
2021-09-23,0.0,0.5050321124177085,0.1354892998933792,0.1467777043581009,0.7
2021-09-24,1.0,0.5890539418510206,1.0,0.9840906262397766,0.82
2021-09-27,1.0,0.49074951196311056,0.8226486444473267,0.8602281808853149,0.98
2021-09-28,0.0,0.4938851833716621,0.5153281092643738,0.4652027189731598,0.0
2021-09-29,0.0,0.5974149174345414,0.8344350457191467,0.2465529441833496,0.74
2021-09-30,1.0,0.605129707801141,0.5898255705833435,0.8728230595588684,0.9816666666666667
2021-10-01,1.0,0.5031245818253435,0.6249397993087769,0.10218305140733719,0.7
2021-10-04,1.0,0.5016338256269337,0.3876402974128723,0.037157002836465836,0.8
2021-10-05,0.0,0.49974721200931976,0.4938931167125702,0.49993062019348145,0.32
2021-10-06,1.0,0.6019089223652027,0.13505764305591583,0.02191052958369255,0.9
